system:index,belongsTo,pointID,.geo
000000000000000005a8_00000000000000000c68,63255,6882025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c2a1_00000000000000004583,63061,6859879,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000debf_00000000000000002232,63069,10897790,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d9e4_0000000000000000828a,63036,6783794,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000094cd_00000000000000007d0a,63465,6842833,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000bbeb_00000000000000005144,63133,10907587,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e413_00000000000000002e76,63362,6818077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000afe_00000000000000001b61,63034,6778239,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005630_00000000000000007900,63095,6840144,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007904_000000000000000026b2,63010,6766866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d22_00000000000000001279,63256,6827977,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008534_00000000000000003c5c,63201,6778717,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008b5d_00000000000000002287,63131,6812856,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008fc2_0000000000000000146a,63005,6808263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000986e_00000000000000000fe3,63166,6766121,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009abf_0000000000000000508a,63445,6889220,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009f6a_000000000000000006ff,63412,6800811,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b4aa_00000000000000000cf3,63211,6823657,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000deee_00000000000000001538,63210,6886448,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000dfbf_000000000000000026b2,63010,10902596,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001aa_0000000000000000828a,63036,6812028,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000586_00000000000000000c68,63255,6882019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a47_00000000000000000cf3,63211,6777880,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b42_000000000000000071b7,63333,6857715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002204_000000000000000071b7,63333,13275404,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000280d_000000000000000071b7,63333,13278571,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005fbd_000000000000000026b2,63010,6789585,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007906_000000000000000026b2,63010,10891336,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008b38_00000000000000007e2c,63128,6787397,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008d5f_00000000000000003c5c,63201,10910750,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b7c1_0000000000000000146a,63005,6832206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000bbf9_00000000000000005144,63133,6827847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c871_0000000000000000377e,63392,6855980,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d4c9_00000000000000004508,63368,6865359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000de5e_00000000000000005144,63133,6857682,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000df0b_00000000000000003c5c,63201,6886358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000df54_000000000000000045fc,63046,6785053,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000816_00000000000000007e2c,63128,6794554,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b46_000000000000000034c3,63149,6857605,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b49_00000000000000002e76,63362,6857614,"{""type"":""MultiPoint"",""coordinates"":[]}"
